Rank,Pincode,Total Bookings,Hotspots Inside,City,State,Area
1,654321,14,1,Pimpri-Chinchwad,Maharashtra,Pimpri-Chinchwad
2,600130,10,1,Chennai,Tamil Nadu,CMWSSB Division 199
3,562125,10,1,Yamare,Karnataka,N/A
4,560064,10,2,Avalahalli,Karnataka,Ramagondanahalli
5,560049,8,1,Bommenahalli,Karnataka,N/A
6,382722,8,1,Santej,Gujarat,N/A
7,394270,8,1,Chorasi Taluka,Gujarat,N/A
8,562149,7,1,Bagaluru,Karnataka,N/A
9,410206,7,1,Panvel,Maharashtra,New Panvel
10,562106,7,2,Dodda Hagade,Karnataka,N/A
11,560099,6,2,Kittaganahalli,Karnataka,Bommasandra
12,412216,6,2,Haveli Subdistrict,Maharashtra,N/A
13,412115,6,2,Lavale,Maharashtra,N/A
14,411018,6,1,Haveli Subdistrict,Maharashtra,N/A
15,382210,5,1,Sanand Taluka,Gujarat,N/A
16,700135,5,1,New Town,West Bengal,New Town
17,600127,4,1,Mambakkam,Tamil Nadu,N/A
18,602101,4,1,Varadarajapuram,Tamil Nadu,Golden Friends Smart City
19,562157,4,1,Tarabanahalli,Karnataka,N/A
20,500090,4,1,Dundigal mandal,Telangana,Mallampet
21,412106,4,1,Mawal,Maharashtra,N/A
22,560060,4,1,Kambipura,Karnataka,N/A
23,600054,4,1,Avadi,Tamil Nadu,Sekkadu
24,382700,3,1,Kalol,Gujarat,Kalol
25,140201,3,1,Kakrali,Punjab,N/A
26,410503,3,1,Manchar,Maharashtra,N/A
27,410200,3,1,Panvel Subdistrict,Maharashtra,N/A
28,560105,3,1,Harappanahalli,Karnataka,N/A
29,561205,3,1,Chogondahalli,Karnataka,N/A
30,500019,3,1,Ramachandrapuram mandal,Telangana,"BHEL MIG Phase 2, Vidyut Nagar"
31,412207,3,1,Wagholi,Maharashtra,N/A
32,452016,3,1,Bhicholi Hapsi Tahsil,Madhya Pradesh,N/A
33,560082,3,1,Kaggalipura,Karnataka,N/A
34,562114,3,1,Hoskote,Karnataka,N/A
35,600013,3,1,Chengalpattu,Tamil Nadu,N/A
36,562123,3,1,Arishinakunte,Karnataka,N/A
37,562129,3,1,Budigere,Karnataka,N/A
38,600045,3,1,Tambaram,Tamil Nadu,Perungalathur
39,602105,3,1,Sriperumbudur,Tamil Nadu,Pattunool Chataram
40,603209,3,1,Maraimalai Nagar,Tamil Nadu,N/A
41,603001,3,1,Chengalpattu,Tamil Nadu,Vedachalam Nagar
