Cluster ID,Pincode,Total Bookings,Area,City,State
10,654321,14,Pimpri-Chinchwad,Pimpri-Chinchwad,Maharashtra
15,600130,10,CMWSSB Division 199,Chennai,Tamil Nadu
20,562125,10,N/A,Yamare,Karnataka
25,560049,8,N/A,Bommenahalli,Karnataka
28,394270,8,N/A,Chorasi Taluka,Gujarat
44,382722,8,N/A,Santej,Gujarat
6,410206,7,New Panvel,Panvel,Maharashtra
2,562149,7,N/A,Bagaluru,Karnataka
24,411018,6,N/A,Haveli Subdistrict,Maharashtra
3,382210,5,N/A,Sanand Taluka,Gujarat
46,700135,5,New Town,New Town,West Bengal
27,560064,5,Ramagondanahalli,Avalahalli,Karnataka
33,560064,5,Sri Banashankri Layout,Vishvanathapura,Karnataka
21,560060,4,N/A,Kambipura,Karnataka
17,600127,4,N/A,Mambakkam,Tamil Nadu
8,500090,4,Mallampet,Dundigal mandal,Telangana
14,412106,4,N/A,Mawal,Maharashtra
13,562106,4,N/A,Dodda Hagade,Karnataka
16,N/A,4,N/A,Dattawadi,Maharashtra
50,602101,4,Golden Friends Smart City,Varadarajapuram,Tamil Nadu
51,600054,4,Sekkadu,Avadi,Tamil Nadu
32,562157,4,N/A,Tarabanahalli,Karnataka
18,412115,3,N/A,Lavale,Maharashtra
19,600013,3,N/A,Chengalpattu,Tamil Nadu
5,603001,3,Vedachalam Nagar,Chengalpattu,Tamil Nadu
7,603209,3,N/A,Maraimalai Nagar,Tamil Nadu
9,410200,3,N/A,Panvel Subdistrict,Maharashtra
12,562114,3,N/A,Hoskote,Karnataka
4,602105,3,Pattunool Chataram,Sriperumbudur,Tamil Nadu
1,561205,3,N/A,Chogondahalli,Karnataka
0,410503,3,N/A,Manchar,Maharashtra
11,N/A,3,N/A,Kethireddypally,Telangana
29,600045,3,Perungalathur,Tambaram,Tamil Nadu
26,N/A,3,N/A,Pilli Gundla,Telangana
23,412115,3,N/A,Pirangut,Maharashtra
30,562123,3,N/A,Arishinakunte,Karnataka
22,560082,3,N/A,Kaggalipura,Karnataka
36,562106,3,N/A,Anekal,Karnataka
35,412216,3,N/A,Haveli Subdistrict,Maharashtra
34,412216,3,N/A,Kesnand,Maharashtra
31,N/A,3,N/A,Appareddyguda,Telangana
40,560099,3,Bommasandra,Kittaganahalli,Karnataka
37,N/A,3,N/A,Mulshi Subdistrict,Maharashtra
39,500019,3,"BHEL MIG Phase 2, Vidyut Nagar",Ramachandrapuram mandal,Telangana
38,562129,3,N/A,Budigere,Karnataka
43,412207,3,N/A,Wagholi,Maharashtra
42,140201,3,N/A,Kakrali,Punjab
41,560099,3,N/A,Anekal,Karnataka
45,382700,3,Kalol,Kalol,Gujarat
48,N/A,3,N/A,Rancharda,Gujarat
47,N/A,3,N/A,Bakshi Ka Talab,Uttar Pradesh
49,452016,3,N/A,Bhicholi Hapsi Tahsil,Madhya Pradesh
52,560105,3,N/A,Harappanahalli,Karnataka
